cell_ID	par0	err0	par1	err1	chi2	integral
4079	1.14577	NA	NA	NA	NA	287
4080	1.53805	NA	NA	NA	NA	91
4081	0.98876	NA	NA	NA	NA	510
4082	1.17984	NA	NA	NA	NA	256
4083	0.757763	NA	NA	NA	NA	1440
4084	0.940087	NA	NA	NA	NA	621
4085	0.712908	NA	NA	NA	NA	1827
4086	0.893858	NA	NA	NA	NA	756
4087	0.739353	NA	NA	NA	NA	1585
4088	0.870039	NA	NA	NA	NA	840
4089	0.879864	NA	NA	NA	NA	804
4090	0.901281	NA	NA	NA	NA	732
4091	0.845312	NA	NA	NA	NA	940
4092	0.95627	NA	NA	NA	NA	581
4093	0.901281	NA	NA	NA	NA	732
4094	1.09134	NA	NA	NA	NA	347
4095	0.871105	NA	NA	NA	NA	836
4096	1.20601	NA	NA	NA	NA	235
4097	0.805799	NA	NA	NA	NA	1133
4098	0.98144	NA	NA	NA	NA	525
4099	1.0293	NA	NA	NA	NA	436
4100	1.0523	NA	NA	NA	NA	400
4101	1.67006	NA	NA	NA	NA	66
4102	0.989757	NA	NA	NA	NA	508
4103	0.761172	NA	NA	NA	NA	1415
4104	0.943217	NA	NA	NA	NA	613
4105	0.908031	NA	NA	NA	NA	711
4106	1.16831	NA	NA	NA	NA	266
4107	0.933601	NA	NA	NA	NA	638
4108	1.53375	NA	NA	NA	NA	92
4109	0.973455	NA	NA	NA	NA	542
4110	1.0275	NA	NA	NA	NA	439
4111	0.781147	NA	NA	NA	NA	1279
4112	1.04435	NA	NA	NA	NA	412
4113	0.861741	NA	NA	NA	NA	872
4114	1.18341	NA	NA	NA	NA	253
4115	0.90223	NA	NA	NA	NA	729
4116	1.15623	NA	NA	NA	NA	277
4117	0.892349	NA	NA	NA	NA	761
4118	1.15838	NA	NA	NA	NA	275
4119	0.949226	NA	NA	NA	NA	598
4120	1.19952	NA	NA	NA	NA	240
4121	0.868453	NA	NA	NA	NA	846
4122	1.15199	NA	NA	NA	NA	281
4123	0.843022	NA	NA	NA	NA	950
4124	1.09956	NA	NA	NA	NA	337
4125	0.867928	NA	NA	NA	NA	848
4126	1.33091	NA	NA	NA	NA	160
4127	1.03732	NA	NA	NA	NA	423
4128	1.38752	NA	NA	NA	NA	136
4129	0.965779	NA	NA	NA	NA	559
4130	3.68852	NA	NA	NA	NA	3
4131	0.78721	NA	NA	NA	NA	1241
4132	0.921258	NA	NA	NA	NA	672
4133	0.882976	NA	NA	NA	NA	793
4134	1.04763	NA	NA	NA	NA	407
4135	0.770257	NA	NA	NA	NA	1351
4136	1.05297	NA	NA	NA	NA	399
4137	0.730756	NA	NA	NA	NA	1659
4138	0.955428	NA	NA	NA	NA	583
4139	0.763534	NA	NA	NA	NA	1398
4140	0.972537	NA	NA	NA	NA	544
4141	0.746202	NA	NA	NA	NA	1529
4142	1.06337	NA	NA	NA	NA	384
4143	0.762279	NA	NA	NA	NA	1407
4144	0.994302	NA	NA	NA	NA	499
4145	0.801126	NA	NA	NA	NA	1159
4146	1.03985	NA	NA	NA	NA	419
4147	0.814984	NA	NA	NA	NA	1084
4148	1.06551	NA	NA	NA	NA	381
4149	0.844392	NA	NA	NA	NA	944
4150	1.17057	NA	NA	NA	NA	264
4151	0.817117	NA	NA	NA	NA	1073
4152	1.11335	NA	NA	NA	NA	321
4153	0.808928	NA	NA	NA	NA	1116
4154	1.08974	NA	NA	NA	NA	349
4155	0.798142	NA	NA	NA	NA	1176
4156	1.12242	NA	NA	NA	NA	311
4157	0.943612	NA	NA	NA	NA	612
4158	1.28051	NA	NA	NA	NA	186
4159	0.871105	NA	NA	NA	NA	836
4160	1.22801	NA	NA	NA	NA	219
4161	0.765933	NA	NA	NA	NA	1381
4162	1.06054	NA	NA	NA	NA	388
4163	0.767074	NA	NA	NA	NA	1373
4164	1.09378	NA	NA	NA	NA	344
4165	0.784469	NA	NA	NA	NA	1258
4166	1.09215	NA	NA	NA	NA	346
4167	0.789833	NA	NA	NA	NA	1225
4168	1.11784	NA	NA	NA	NA	316
4169	0.881272	NA	NA	NA	NA	799
4170	1.26844	NA	NA	NA	NA	193
4171	0.867666	NA	NA	NA	NA	849
4172	1.31638	NA	NA	NA	NA	167
4173	0.934353	NA	NA	NA	NA	636
4174	1.27527	NA	NA	NA	NA	189
4175	1.09956	NA	NA	NA	NA	337
4176	1.57967	NA	NA	NA	NA	82
4177	0.952923	NA	NA	NA	NA	589
4178	1.2309	NA	NA	NA	NA	217
4179	0.732688	NA	NA	NA	NA	1642
4180	0.984336	NA	NA	NA	NA	519
4181	0.708864	NA	NA	NA	NA	1868
4182	0.943612	NA	NA	NA	NA	612
4183	0.704268	NA	NA	NA	NA	1916
4184	0.942037	NA	NA	NA	NA	616
4185	0.845081	NA	NA	NA	NA	941
4186	1.04962	NA	NA	NA	NA	404
4187	0.787047	NA	NA	NA	NA	1242
4188	1.14475	NA	NA	NA	NA	288
4189	0.762557	NA	NA	NA	NA	1405
4190	1.04566	NA	NA	NA	NA	410
4191	0.776975	NA	NA	NA	NA	1306
4192	1.05638	NA	NA	NA	NA	394
4193	0.791661	NA	NA	NA	NA	1214
4194	1.10549	NA	NA	NA	NA	330
4195	0.83942	NA	NA	NA	NA	966
4196	1.13283	NA	NA	NA	NA	300
4197	0.816533	NA	NA	NA	NA	1076
4198	1.12335	NA	NA	NA	NA	310
4199	0.822675	NA	NA	NA	NA	1045
4200	1.10463	NA	NA	NA	NA	331
4201	1.06694	NA	NA	NA	NA	379
4202	1.33738	NA	NA	NA	NA	157
4203	1.01697	NA	NA	NA	NA	457
4204	1.28586	NA	NA	NA	NA	183
4205	0.852369	NA	NA	NA	NA	910
4206	1.17516	NA	NA	NA	NA	260
4207	0.841437	NA	NA	NA	NA	957
4208	1.20339	NA	NA	NA	NA	237
4209	0.891449	NA	NA	NA	NA	764
4210	1.20866	NA	NA	NA	NA	233
4211	0.912002	NA	NA	NA	NA	699
4212	1.30452	NA	NA	NA	NA	173
4213	2.26803	NA	NA	NA	NA	20
4214	1.30646	NA	NA	NA	NA	172
4215	0.946398	NA	NA	NA	NA	605
4216	1.30068	NA	NA	NA	NA	175
4217	0.886144	NA	NA	NA	NA	782
4218	1.24898	NA	NA	NA	NA	205
4219	0.893858	NA	NA	NA	NA	756
4220	1.26676	NA	NA	NA	NA	194
4221	0.876529	NA	NA	NA	NA	816
4222	1.2651	NA	NA	NA	NA	195
4223	1.14071	NA	NA	NA	NA	292
4224	1.5897	NA	NA	NA	NA	80
4225	0.993792	NA	NA	NA	NA	500
4226	1.31237	NA	NA	NA	NA	169
4227	0.83201	NA	NA	NA	NA	1000
4228	0.990758	NA	NA	NA	NA	506
4229	0.739234	NA	NA	NA	NA	1586
4230	1.02511	NA	NA	NA	NA	443
4231	1.82191	NA	NA	NA	NA	47
4232	1.07729	NA	NA	NA	NA	365
4233	0.750131	NA	NA	NA	NA	1498
4234	1.00532	NA	NA	NA	NA	478
4235	0.767936	NA	NA	NA	NA	1367
4236	0.99584	NA	NA	NA	NA	496
4237	1.45833	NA	NA	NA	NA	112
4238	1.35311	NA	NA	NA	NA	150
4239	0.768802	NA	NA	NA	NA	1361
4240	0.999475	NA	NA	NA	NA	489
4241	0.839866	NA	NA	NA	NA	964
4242	1.09378	NA	NA	NA	NA	344
4243	0.851651	NA	NA	NA	NA	913
4244	1.16495	NA	NA	NA	NA	269
4245	0.79762	NA	NA	NA	NA	1179
4246	0.989258	NA	NA	NA	NA	509
4247	0.83394	NA	NA	NA	NA	991
4248	1.16274	NA	NA	NA	NA	271
4249	0.815563	NA	NA	NA	NA	1081
4250	1.1309	NA	NA	NA	NA	302
4251	0.797447	NA	NA	NA	NA	1180
4252	1.16606	NA	NA	NA	NA	268
4253	0.878466	NA	NA	NA	NA	809
4254	1.20999	NA	NA	NA	NA	232
4255	0.872984	NA	NA	NA	NA	829
4256	1.21677	NA	NA	NA	NA	227
4257	0.805253	NA	NA	NA	NA	1136
4258	1.10635	NA	NA	NA	NA	329
4259	0.81364	NA	NA	NA	NA	1091
4260	1.10039	NA	NA	NA	NA	336
4261	0.814023	NA	NA	NA	NA	1089
4262	1.22658	NA	NA	NA	NA	220
4263	0.833294	NA	NA	NA	NA	994
4264	1.21268	NA	NA	NA	NA	230
4265	0.928786	NA	NA	NA	NA	651
4266	1.33305	NA	NA	NA	NA	159
4267	0.904786	NA	NA	NA	NA	721
4268	1.30646	NA	NA	NA	NA	172
4269	0.918814	NA	NA	NA	NA	679
4270	1.4755	NA	NA	NA	NA	107
4271	1.1932	NA	NA	NA	NA	245
4272	1.57477	NA	NA	NA	NA	83
4273	0.933226	NA	NA	NA	NA	639
4274	1.2047	NA	NA	NA	NA	236
4275	0.714821	NA	NA	NA	NA	1808
4276	1.00695	NA	NA	NA	NA	475
4277	0.683363	NA	NA	NA	NA	2155
4278	0.948414	NA	NA	NA	NA	600
4279	0.691823	NA	NA	NA	NA	2054
4280	0.990758	NA	NA	NA	NA	506
4281	0.749746	NA	NA	NA	NA	1501
4282	1.06479	NA	NA	NA	NA	382
4283	1.99479	NA	NA	NA	NA	33
4284	1.09459	NA	NA	NA	NA	343
4285	0.781304	NA	NA	NA	NA	1278
4286	1.09134	NA	NA	NA	NA	347
4287	0.790994	NA	NA	NA	NA	1218
4288	1.09459	NA	NA	NA	NA	343
4289	0.770843	NA	NA	NA	NA	1347
4290	1.09054	NA	NA	NA	NA	348
4291	0.79504	NA	NA	NA	NA	1194
4292	1.08577	NA	NA	NA	NA	354
4293	0.799364	NA	NA	NA	NA	1169
4294	1.08265	NA	NA	NA	NA	358
4295	0.789998	NA	NA	NA	NA	1224
4296	1.13971	NA	NA	NA	NA	293
4297	0.822473	NA	NA	NA	NA	1046
4298	1.13283	NA	NA	NA	NA	300
4299	0.78399	NA	NA	NA	NA	1261
4300	0.967559	NA	NA	NA	NA	555
4301	0.821869	NA	NA	NA	NA	1049
4302	1.1541	NA	NA	NA	NA	279
4303	0.826347	NA	NA	NA	NA	1027
4304	1.18948	NA	NA	NA	NA	248
4305	0.864036	NA	NA	NA	NA	863
4306	1.23678	NA	NA	NA	NA	213
4307	0.890554	NA	NA	NA	NA	767
4308	1.28586	NA	NA	NA	NA	183
4309	0.865323	NA	NA	NA	NA	858
4310	1.35777	NA	NA	NA	NA	148
4311	0.915718	NA	NA	NA	NA	688
4312	1.3928	NA	NA	NA	NA	134
4313	0.886726	NA	NA	NA	NA	780
4314	1.27701	NA	NA	NA	NA	188
